,rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
0,2147,5,14,7,0,42
1,1703,3,4,9,0,36
2,2253,0,5,8,0,49
3,2866,3,21,5,0,27
4,1636,2,3,6,0,79
5,1636,2,0,8,0,41
6,2905,4,18,8,0,29
7,2337,4,12,9,0,28
8,1471,2,13,8,0,55
9,2179,2,14,8,0,27
10,1475,5,7,8,0,44
11,1473,2,14,7,0,60
12,1969,2,0,6,0,59
13,500,0,9,7,0,87
14,592,2,14,7,0,57
15,1406,2,11,6,0,62
16,1091,1,2,6,0,73
17,2019,2,10,7,0,47
18,1164,2,18,7,0,51
19,811,1,12,6,0,79
20,2825,2,7,8,0,44
21,1641,1,9,7,0,60
22,1847,6,20,10,0,6
23,802,7,24,8,0,19
24,1418,1,0,6,0,82
25,1877,6,20,10,0,0
26,994,1,14,8,0,47
27,2062,3,6,8,0,38
28,1379,2,12,8,0,43
29,1595,3,10,8,0,29
30,1378,5,9,8,0,30
31,3096,2,9,8,0,38
32,1790,1,2,7,0,61
33,1059,3,12,9,0,60
34,2375,4,10,9,0,37
35,945,4,11,8,0,39
36,1946,2,8,9,0,45
37,500,7,15,9,0,23
38,870,1,5,4,0,97
39,1937,0,0,4,0,80
40,2316,3,21,7,0,36
41,1919,4,21,8,0,45
42,1719,3,15,9,0,31
43,1589,1,7,9,0,49
44,765,1,13,7,0,63
45,1296,1,0,6,0,65
46,1477,5,18,8,0,27
47,2539,1,6,7,0,61
48,2040,3,5,9,0,37
49,565,2,16,6,0,71
50,2026,2,12,7,0,40
51,1530,3,9,4,0,72
52,1326,3,11,9,0,42
53,2228,3,7,7,0,46
54,2521,1,11,6,0,59
55,2451,6,17,8,0,13
56,1212,2,12,6,0,76
57,1583,4,2,9,0,36
58,2031,4,14,10,0,23
59,2482,4,7,8,0,28
60,1464,3,16,6,1,61
61,1670,0,7,6,0,63
62,1025,0,18,8,0,59
63,962,2,7,4,0,77
64,2368,1,2,7,0,56
65,2749,1,5,8,1,65
66,1749,8,17,12,0,0
67,2502,4,7,9,0,24
68,2053,5,2,10,0,33
69,1348,4,16,7,0,38
70,2052,3,22,10,0,29
71,2876,2,17,6,0,46
72,1774,3,9,7,0,59
73,2895,2,7,10,0,31
74,500,0,7,6,0,81
75,2375,3,17,7,0,39
76,1860,2,7,10,0,44
77,1590,3,10,8,0,48
78,1864,6,26,11,0,0
79,500,1,9,6,0,91
80,1646,5,21,7,0,29
81,2049,1,10,7,0,50
82,2834,2,10,8,0,27
83,1437,0,7,4,0,79
84,1234,2,3,3,0,84
85,1448,5,16,10,0,23
86,2440,3,14,10,0,25
87,2030,9,13,10,0,0
88,1429,1,15,7,0,61
89,2159,3,12,7,0,33
90,1867,4,11,9,0,46
91,2478,1,16,9,0,40
92,1308,3,4,8,0,47
93,1570,2,12,8,0,30
94,1525,1,12,5,0,69
95,775,1,10,6,0,75
96,2007,4,10,7,0,47
97,1982,2,21,7,0,48
98,1803,3,15,9,0,31
99,1635,2,5,7,0,58
100,809,4,9,6,0,67
101,1505,2,1,6,0,75
102,1560,0,7,5,0,72
103,1238,2,20,8,0,52
